Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,RMA,DOR,LMO
1,Milan,6,4,0,2,5,4,+1,12,Advance to knockout stage,,—,1–0,0–1,1–0
2,Real Madrid,6,3,2,1,9,6,+3,11,Advance to knockout stage,,3–1,—,2–1,2–2
3,Borussia Dortmund,6,3,1,2,8,5,+3,10,,,0–1,1–1,—,3–0
4,Lokomotiv Moscow,6,0,1,5,3,10,−7,1,,,0–1,0–1,1–2,—
