Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,DEP,LEN,BAY
1,Milan,6,4,0,2,12,7,+5,12,Advance to second group stage,,—,1–2,2–1,2–1
2,Deportivo La Coruña,6,4,0,2,11,12,−1,12,Advance to second group stage,,0–4,—,3–1,2–1
3,Lens,6,2,2,2,11,11,0,8,Transfer to UEFA Cup,,2–1,3–1,—,1–1
4,Bayern Munich,6,0,2,4,9,13,−4,2,,,1–2,2–3,3–3,—
