Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,NEW,DKV,FEY
1,Juventus,6,4,1,1,12,3,+9,13,Advance to second group stage,,—,2–0,5–0,2–0
2,Newcastle United,6,3,0,3,6,8,−2,9,Advance to second group stage,,1–0,—,2–1,0–1
3,Dynamo Kyiv,6,2,1,3,6,9,−3,7,Transfer to UEFA Cup,,1–2,2–0,—,2–0
4,Feyenoord,6,1,2,3,4,8,−4,5,,,1–1,2–3,0–0,—
