Rank[8],Name,Team,Goals,Appearances,Minutes played
1,Ruud van Nistelrooy,Manchester United,12,9,681
2,Filippo Inzaghi,Milan,10,14,1097
3,Roy Makaay,Deportivo La Coruña,9,11,909
3,Hernán Crespo,Internazionale,9,12,981
3,Raúl,Real Madrid,9,12,1054
6,Jan Koller,Borussia Dortmund,8,12,1059
7,Javier Saviola,Barcelona,7,12,914
7,Thierry Henry,Arsenal,7,12,1020
9,Ronaldo,Real Madrid,6,11,758
9,Alan Shearer,Newcastle United,6,10,878
