Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,INT,AJX,LYO,ROS
1,Internazionale,6,3,2,1,12,8,+4,11,Advance to second group stage,,—,1–0,1–2,3–0
2,Ajax,6,2,2,2,6,5,+1,8,Advance to second group stage,,1–2,—,2–1,1–1
3,Lyon,6,2,2,2,12,9,+3,8,Transfer to UEFA Cup,,3–3,0–2,—,5–0
4,Rosenborg,6,0,4,2,4,12,−8,4,,,2–2,0–0,1–1,—
