Group stage,Group stage.1,Group stage.2,Group stage.3
Valencia (1st),Arsenal (1st),Lyon (1st),Galatasaray (1st)
Deportivo La Coruña (2nd),Liverpool (2nd),Lens (2nd),Olympiacos (1st)
Juventus (1st),Borussia Dortmund (1st),Ajax (1st),Spartak Moscow (1st)
Roma (2nd),Bayer Leverkusen (2nd),PSV Eindhoven (2nd),Real Madrid (3rd)TH
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Barcelona (4th),Bayern Munich (3rd),Lokomotiv Moscow (2nd),Shakhtar Donetsk (1st)
Internazionale (3rd),Auxerre (3rd),Sporting CP (1st),Sturm Graz (2nd)[Note AUT]
Milan (4th),Feyenoord (3rd),Slovan Liberec (1st),Rosenborg (1st)
Manchester United (3rd),Fenerbahçe (2nd),Genk (1st),Celtic (1st)
Newcastle United (4th),AEK Athens (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Boavista (2nd),Lillestrøm (2nd),Brøndby (1st),Žilina (1st)
Sparta Prague (2nd),Basel (1st),Dinamo București (1st),Maccabi Haifa (1st)
Club Brugge (2nd),Zagreb (1st),Partizan (1st),Maribor (1st)
Dynamo Kyiv (2nd),Hammarby IF (1st),Zalaegerszeg (1st),Levski Sofia (1st)
GAK (3rd)[Note AUT],Legia Warsaw (1st),,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
APOEL (1st),Belshina Bobruisk (1st),Flora (1st),Željezničar (1st)
Torpedo Kutaisi (1st),Sheriff Tiraspol (1st),Pyunik (1st),F91 Dudelange (1st)
Tampere United (1st),Kaunas (1st),Barry Town (1st),B36 (1st)
Skonto (1st),Vardar (1st),Hibernians (1st),Dinamo Tirana (1st)
ÍA (1st),Shelbourne (1st),Portadown (1st),Zhenis (1st)
