Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,DOR,AUX,PSV
1,Arsenal,6,3,1,2,9,4,+5,10,Advance to second group stage,,—,2–0,1–2,0–0
2,Borussia Dortmund,6,3,1,2,8,7,+1,10,Advance to second group stage,,2–1,—,2–1,1–1
3,Auxerre,6,2,1,3,4,7,−3,7,Transfer to UEFA Cup,,0–1,1–0,—,0–0
4,PSV Eindhoven,6,1,3,2,5,8,−3,6,,,0–4,1–3,3–0,—
