Rank[20],Player,Team,Goals,Minutes played
1,Andriy Shevchenko,Milan,9,950
2,Ronaldinho,Barcelona,7,1078
3,David Trezeguet,Juventus,6,733
3,Samuel Eto'o,Barcelona,6,978
5,Adriano,Internazionale,5,679
5,Johan Micoud,Werder Bremen,5,720
5,Thierry Henry,Arsenal,5,931
5,Kaká,Milan,5,986
9,Julio Cruz,Internazionale,4,370
9,Filippo Inzaghi,Milan,4,394
9,Vincenzo Iaquinta,Udinese,4,434
9,John Carew,Lyon,4,623
9,Peter Løvenkrands,Rangers,4,656
9,Juninho,Lyon,4,691
