Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LYO,RMA,ROS,OLY
1,Lyon,6,5,1,0,13,4,+9,16,Advance to knockout stage,,—,3–0,2–1,2–1
2,Real Madrid,6,3,1,2,10,8,+2,10,Advance to knockout stage,,1–1,—,4–1,2–1
3,Rosenborg,6,1,1,4,6,11,−5,4,Transfer to UEFA Cup,,0–1,0–2,—,1–1
4,Olympiacos,6,1,1,4,7,13,−6,4,,,1–4,2–1,1–3,—
