Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Arsenal,2–0,Juventus,2–0,0–0
Lyon,1–3,Milan,0–0,1–3
Internazionale,2–2 (a),Villarreal,2–1,0–1
Benfica,0–2,Barcelona,0–0,0–2
