Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,24 June 2005,12–13 July 2005,19–20 July 2005
Qualifying,Second qualifying round,24 June 2005,26–27 July 2005,2–3 August 2005
Qualifying,Third qualifying round,29 July 2005,9–10 August 2005,23–24 August 2005
Group stage,Matchday 1,25 August 2005 (Monaco),13–14 September 2005,13–14 September 2005
Group stage,Matchday 2,25 August 2005 (Monaco),27–28 September 2005,27–28 September 2005
Group stage,Matchday 3,25 August 2005 (Monaco),18–19 October 2005,18–19 October 2005
Group stage,Matchday 4,25 August 2005 (Monaco),1–2 November 2005,1–2 November 2005
Group stage,Matchday 5,25 August 2005 (Monaco),22–23 November 2005,22–23 November 2005
Group stage,Matchday 6,25 August 2005 (Monaco),6–7 December 2005,6–7 December 2005
Knockout phase,Round of 16,16 December 2005,21–22 February 2006,7–8 March 2006[a]
Knockout phase,Quarter-finals,10 March 2006,28–29 March 2006,4–5 April 2006
Knockout phase,Semi-finals,10 March 2006,18–19 April 2006,25–26 April 2006
Knockout phase,Final,10 March 2006,"17 May 2006 at Stade de France, Saint-Denis","17 May 2006 at Stade de France, Saint-Denis"
