Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,INT,RAN,ART,POR
1,Internazionale,6,4,1,1,9,4,+5,13,Advance to knockout stage,,—,1–0,4–0,2–1
2,Rangers,6,1,4,1,7,7,0,7,Advance to knockout stage,,1–1,—,0–0,3–2
3,Artmedia Bratislava,6,1,3,2,5,9,−4,6,Transfer to UEFA Cup,,0–1,2–2,—,0–0
4,Porto,6,1,2,3,8,9,−1,5,,,2–0,1–1,2–3,—
