Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,BRM,UDI,PAN
1,Barcelona,6,5,1,0,16,2,+14,16,Advance to knockout stage,,—,3–1,4–1,5–0
2,Werder Bremen,6,2,1,3,12,12,0,7,Advance to knockout stage,,0–2,—,4–3,5–1
3,Udinese,6,2,1,3,10,12,−2,7,Transfer to UEFA Cup,,0–2,1–1,—,3–0
4,Panathinaikos,6,1,1,4,4,16,−12,4,,,0–0,2–1,1–2,—
