Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,VIL,BEN,LIL,MUN
1,Villarreal,6,2,4,0,3,1,+2,10,Advance to knockout stage,,—,1–1,1–0,0–0
2,Benfica,6,2,2,2,5,5,0,8,Advance to knockout stage,,0–1,—,1–0,2–1
3,Lille,6,1,3,2,1,2,−1,6,Transfer to UEFA Cup,,0–0,0–0,—,1–0
4,Manchester United,6,1,3,2,3,4,−1,6,,,0–0,2–1,0–0,—
