0,1,2,3
17 Nëntori (1st),Rapid Wien (1st),Club Brugge (1st),Vitosha Sofia (1st)
Pezoporikos Larnaca (1st),Sparta Prague (1st),Brøndby (1st),HJK (1st)
Monaco (1st),BFC Dynamo (1st),Werder Bremen (1st),AEL (1st)
Budapesti Honvéd (1st),Valur (1st),Dundalk (1st),Milan (1st)
Jeunesse Esch (1st),Ħamrun Spartans (1st),PSV Eindhoven (1st)TH,Glentoran (1st)
Moss (1st),Górnik Zabrze (1st),Porto (1st),Steaua București (1st)
Celtic (1st),Real Madrid (1st),IFK Göteborg (1st),Neuchâtel Xamax (1st)
Galatasaray (1st),Spartak Moscow (1st),Red Star Belgrade (1st),
