Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
PSV Eindhoven,2–3,Real Madrid,1–1,1–2
Werder Bremen,0–1,Milan,0–0,0–1
IFK Göteborg,2–5,Steaua București,1–0,1–5
Monaco,1–2,Galatasaray,0–1,1–1
