Rank,Name,Team,Goals
1,Marco van Basten,Milan,10
2,Marius Lăcătuș,Steaua București,7
3,Gheorghe Hagi,Steaua București,6
4,Tanju Çolak,Galatasaray,5
4,Hugo Sánchez,Real Madrid,5
6,Ilie Dumitrescu,Steaua București,4
6,Emilio Butragueño,Real Madrid,4
6,Ruud Gullit,Milan,4
9,Gabi Balint,Steaua București,3
9,Youssouf Falikou Fofana,Monaco,3
9,Dragan Stojković,Red Star Belgrade,3
9,Jan Urban,Górnik Zabrze,3
9,Pietro Paolo Virdis,Milan,3
