Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,RSO,GAL,OLY
1,Juventus,6,4,1,1,15,6,+9,13,Advance to knockout stage,,—,4–2,2–1,7–0
2,Real Sociedad,6,2,3,1,8,8,0,9,Advance to knockout stage,,0–0,—,1–1,1–0
3,Galatasaray,6,2,1,3,6,8,−2,7,Transfer to UEFA Cup,,2–0,1–2,—,1–0
4,Olympiacos,6,1,1,4,6,13,−7,4,,,1–2,2–2,3–0,—
