Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,LMO,INT,DKV
1,Arsenal,6,3,1,2,9,6,+3,10,Advance to knockout stage,,—,2–0,0–3,1–0
2,Lokomotiv Moscow,6,2,2,2,7,7,0,8,Advance to knockout stage,,0–0,—,3–0,3–2
3,Internazionale,6,2,2,2,8,11,−3,8,Transfer to UEFA Cup,,1–5,1–1,—,2–1
4,Dynamo Kyiv,6,2,1,3,8,8,0,7,,,2–1,2–0,1–1,—
