Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Chelsea,3–2,Arsenal,1–1,2–1
Milan,4–5,Deportivo La Coruña,4–1,0–4
Porto,4–2,Lyon,2–0,2–2
Real Madrid,5–5 (a),Monaco,4–2,1–3
