Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,CLT,BRU,AJX
1,Milan,6,3,1,2,4,3,+1,10,Advance to knockout stage,,—,1–2,0–1,1–0
2,Celta Vigo,6,2,3,1,7,6,+1,9,Advance to knockout stage,,0–0,—,1–1,3–2
3,Club Brugge,6,2,2,2,5,6,−1,8,Transfer to UEFA Cup,,0–1,1–1,—,2–1
4,Ajax,6,2,0,4,6,7,−1,6,,,0–1,1–0,2–0,—
