Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,SPP,BES,LAZ
1,Chelsea,6,4,1,1,9,3,+6,13,Advance to knockout stage,,—,0–0,0–2,2–1
2,Sparta Prague,6,2,2,2,5,5,0,8,Advance to knockout stage,,0–1,—,2–1,1–0
3,Beşiktaş,6,2,1,3,5,7,−2,7,Transfer to UEFA Cup,,0–2,1–0,—,0–2
4,Lazio,6,1,2,3,6,10,−4,5,,,0–4,2–2,1–1,—
