Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LYO,BAY,CEL,AND
1,Lyon,6,3,1,2,7,7,0,10,Advance to knockout stage,,—,1–1,3–2,1–0
2,Bayern Munich,6,2,3,1,6,5,+1,9,Advance to knockout stage,,1–2,—,2–1,1–0
3,Celtic,6,2,1,3,8,7,+1,7,Transfer to UEFA Cup,,2–0,0–0,—,3–1
4,Anderlecht,6,2,1,3,4,6,−2,7,,,1–0,1–1,1–0,—
