Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Borussia Dortmund,4–1,Auxerre,3–1,1–0
Manchester United,4–0,Porto,4–0,0–0
Ajax,4–3,Atlético Madrid,1–1,3–2 (a.e.t.)
Rosenborg,1–3,Juventus,1–1,0–2
