Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,ROS,MIL,GOT
1,Porto,6,5,1,0,12,4,+8,16,Advance to knockout stage,,—,3–0,1–1,2–1
2,Rosenborg,6,3,0,3,7,11,−4,9,Advance to knockout stage,,0–1,—,1–4,1–0
3,Milan,6,2,1,3,13,11,+2,7,,,2–3,1–2,—,4–2
4,IFK Göteborg,6,1,0,5,7,13,−6,3,,,0–2,2–3,2–1,—
