Phase,Round,Draw date,First leg,Second leg
Qualifying round,Qualifying round,6 July 1996,7 August 1996,21 August 1996
Group stage,Matchday 1,23 August 1996,11 September 1996,11 September 1996
Group stage,Matchday 2,23 August 1996,25 September 1996,25 September 1996
Group stage,Matchday 3,23 August 1996,16 October 1996,16 October 1996
Group stage,Matchday 4,23 August 1996,30 October 1996,30 October 1996
Group stage,Matchday 5,23 August 1996,20 November 1996,20 November 1996
Group stage,Matchday 6,23 August 1996,4 December 1996,4 December 1996
Knockout phase,Quarter-finals,23 August 1996,5 March 1997,19 March 1997
Knockout phase,Semi-finals,23 August 1996,9 April 1997,23 April 1997
Knockout phase,Final,23 August 1996,"28 May 1997 at Olympiastadion, Munich","28 May 1997 at Olympiastadion, Munich"
