Rank,Name,Team,Goals
1,Milinko Pantić,Atlético Madrid,5
2,Nicola Amoruso,Juventus,4
2,Artur,Porto,4
2,Alen Bokšić,Juventus,4
2,Alessandro Del Piero,Juventus,4
2,Mário Jardel,Porto,4
2,Lars Ricken,Borussia Dortmund,4
2,Karl-Heinz Riedle,Borussia Dortmund,4
2,Marco Simone,Milan,4
2,Christian Vieri,Juventus,4
2,Diego Simeone,Atlético Madrid,4
