Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,AUX,AJX,GRA,RAN
1,Auxerre,6,4,0,2,8,7,+1,12,Advance to knockout stage,,—,0–1,1–0,2–1
2,Ajax,6,4,0,2,8,4,+4,12,Advance to knockout stage,,1–2,—,0–1,4–1
3,Grasshopper,6,3,0,3,8,5,+3,9,,,3–1,0–1,—,3–0
4,Rangers,6,1,0,5,5,13,−8,3,,,1–2,0–1,2–1,—
