Rank,Name,Team,Goals
1,Peter Pacult,Swarovski Tirol,6
1,Jean-Pierre Papin,Olympique Marseille,6
3,Torsten Gütschow,Dynamo Dresden,5
3,Mo Johnston,Rangers,5
3,Sebastián Losada,Real Madrid,5
3,Darko Pančev,Red Star Belgrade,5
3,Hugo Sánchez,Real Madrid,5
3,Philippe Vercruysse,Olympique Marseille,5
9,Emilio Butragueño,Real Madrid,4
9,Rabah Madjer,Porto,4
9,Robert Prosinečki,Red Star Belgrade,4
