Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayern Munich,3–1,Porto,1–1,2–0
Red Star Belgrade,6–0,Dynamo Dresden,3–0,3–01
Spartak Moscow,3–1,Real Madrid,0–0,3–1
Milan,1–4,Marseille,1–1,0–32
