Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Juventus,3–1,Sparta Praha,3–0,0–1
Bordeaux,2–2 (5–3p),Dnipro Dnipropetrovsk,1–1,1–1
Austria Wien,2–5,Liverpool,1–1,1–4
IFK Göteborg,2–3,Panathinaikos,0–1,2–2
