Rank,Name,Team,Goals
1,Viktor Sokol,Dinamo Minsk,6
2,Roberto Pruzzo,Roma,5
2,Ian Rush,Liverpool,5
4,Ralph Milne,Dundee United,4
5,Nikos Anastopoulos,Olympiacos,3
5,Ionel Augustin,Dinamo București,3
5,Kenny Dalglish,Liverpool,3
5,Diamantino,Benfica,3
5,Davie Dodds,Dundee United,3
5,Rainer Ernst,BFC Dynamo,3
5,Gheorghe Mulţescu,Dinamo București,3
5,Antonín Panenka,Rapid Wien,3
5,Gerard Plessers,Standard Liège,3
5,Derek Stark,Dundee United,3
