Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Liverpool,5–1,Benfica,1–0,4–1
Dinamo Minsk,1–2,Dinamo București,1–1,0–1
Rapid Wien,2–2 (a),Dundee United,2–1,0–1
Roma,4–2,BFC Dynamo,3–0,1–2
