Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Manchester United,2–1,Górnik Zabrze,2–0,0–1,
Real Madrid,4–2,Sparta Prague,3–0,1–2,
Vasas,0–3,Benfica,0–0,0–3,
Eintracht Braunschweig,3–3,Juventus,3–2,0–1,0–1
