0,1,2,3
Dinamo Tirana (1st),Rapid Wien (1st),Anderlecht (1st),Botev Plovdiv (1st)
Olympiakos Nicosia (1st),Sparta Prague (1st),Hvidovre (1st),Manchester United (1st)
KuPS (1st),Saint-Étienne (1st),FC Karl-Marx-Stadt (1st),Eintracht Braunschweig (1st)
Olympiacos (1st),Vasas (1st),Valur (1st),Dundalk (1st)
Juventus (1st),Jeunesse Esch (1st),Hibernians (1st),Ajax (1st)
Glentoran (1st),Skeid (1st),Górnik Zabrze (1st),Benfica (1st)
Rapid București (1st),Celtic (1st)TH,Real Madrid (1st),Djurgården (1st)
Basel (1st),Beşiktaş (1st),Dynamo Kyiv (1st),Sarajevo (1st)
