Rank,Association,Coeff.,Teams,Notes
1,Italy,63.884,1,
2,France,45.283,1,
3,Germany,40.307,1,
4,Spain,39.098,1,
5,England,38.333,1,
6,Portugal,34.0,1,
7,Russia,31.3,1,
8,Belgium,30.4,1,
9,Netherlands,28.45,1,
10,Turkey,23.749,1,
11,Austria,21.45,1,
12,FR Yugoslavia,21.0,0,[Note YUG]
13,Greece,20.5,1,
14,Denmark,20.0,1,
15,Sweden,18.0,1,
16,Scotland,16.55,1,
17,Switzerland,15.5,1,
