Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Real Madrid,1–2,Juventus,1–0,0–2
Nantes,4–2,Spartak Moscow,2–0,2–2
Borussia Dortmund,0–3,Ajax,0–2,0–1
Legia Warsaw,0–3,Panathinaikos,0–0,0–3
