Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,DOR,STE,RAN
1,Juventus,6,4,1,1,15,4,+11,13,Advance to knockout stage,,—,1–2,3–0,4–1
2,Borussia Dortmund,6,2,3,1,8,8,0,9,Advance to knockout stage,,1–3,—,1–0,2–2
3,Steaua București,6,1,3,2,2,5,−3,6,,,0–0,0–0,—,1–0
4,Rangers,6,0,3,3,6,14,−8,3,,,0–4,2–2,1–1,—
