Group stage,Group stage.1,Group stage.2,Group stage.3
AjaxTH (1st),Nantes (1st),Real Madrid (1st),Porto (1st)
Juventus (1st),Borussia Dortmund (1st),Blackburn Rovers (1st),Spartak Moscow (1st)
Qualifying round,Qualifying round,Qualifying round,Qualifying round
Anderlecht (1st),AaB (1st),Legia Warsaw (1st),Ferencváros (1st)
Beşiktaş (1st),IFK Göteborg (1st),Steaua București (1st),Hajduk Split (1st)
Casino Salzburg (1st),Rangers (1st),Rosenborg (1st),Anorthosis Famagusta (1st)
Panathinaikos (1st),Grasshopper (1st),Maccabi Tel Aviv (1st),Dynamo Kyiv (1st)
