Phase,Round,Draw date,First leg,Second leg
Qualifying round,Qualifying round,12 July 1995,9 August 1995,23 August 1995
Group stage,Matchday 1,25 August 1995,13 September 1995,13 September 1995
Group stage,Matchday 2,25 August 1995,27 September 1995,27 September 1995
Group stage,Matchday 3,25 August 1995,18 October 1995,18 October 1995
Group stage,Matchday 4,25 August 1995,1 November 1995,1 November 1995
Group stage,Matchday 5,25 August 1995,22 November 1995,22 November 1995
Group stage,Matchday 6,25 August 1995,6 December 1995,6 December 1995
Knockout phase,Quarter-finals,25 August 1995,6 March 1996,20 March 1996
Knockout phase,Semi-finals,25 August 1995,3 April 1996,17 April 1996
Knockout phase,Final,25 August 1995,"22 May 1996 at Stadio Olimpico, Rome","22 May 1996 at Stadio Olimpico, Rome"
