Round,Teams entering in this round,Teams advancing from the previous round
Qualifying round (16 teams),16 champions from associations 8–25 (except title holders and FR Yugoslavia)[Note YUG],
Group stage (16 teams),Title holders 7 champions from associations 1–7,8 winners from the qualifying round
Knockout stage (8 teams),,8 group winners from the group stage 8 group runners-up from the group stage
