Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Galatasaray,1–8,Milan,1–3,0–5
Anderlecht,2–6,Dundee,1–4,1–2
Reims,1–2,Feyenoord,0–1,1–1
Benfica,2–1,Dukla Prague,2–1,0–0
