Rank,Player,Team,Goals
1,José Altafini,Milan,14
2,Ray Crawford,Ipswich Town,8
2,Alan Gilzean,Dundee,8
4,Paolo Barison,Milan,6
4,Eusébio,Benfica,6
4,László Pál,Vasas,6
7,Alan Cousin,Dundee,5
7,Piet Kruiver,Feyenoord,5
7,Metin Oktay,Galatasaray,5
10,Jozef Adamec,Dukla Prague,4
10,Horst Nemec,Austria Wien,4
10,Ted Phillips,Ipswich Town,4
