Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,24 June 2013,2–3 July 2013,9–10 July 2013
Qualifying,Second qualifying round,24 June 2013,16–17 July 2013,23–24 July 2013
Qualifying,Third qualifying round,19 July 2013,30–31 July 2013,6–7 August 2013
Play-off,Play-off round,9 August 2013,20–21 August 2013,27–28 August 2013
Group stage,Matchday 1,29 August 2013 (Monaco),17–18 September 2013,17–18 September 2013
Group stage,Matchday 2,29 August 2013 (Monaco),1–2 October 2013,1–2 October 2013
Group stage,Matchday 3,29 August 2013 (Monaco),22–23 October 2013,22–23 October 2013
Group stage,Matchday 4,29 August 2013 (Monaco),5–6 November 2013,5–6 November 2013
Group stage,Matchday 5,29 August 2013 (Monaco),26–27 November 2013,26–27 November 2013
Group stage,Matchday 6,29 August 2013 (Monaco),10–11 December 2013,10–11 December 2013
Knockout phase,Round of 16,16 December 2013,18–19 & 25–26 February 2014,11–12 & 18–19 March 2014
Knockout phase,Quarter-finals,21 March 2014,1–2 April 2014,8–9 April 2014
Knockout phase,Semi-finals,11 April 2014,22–23 April 2014,29–30 April 2014
Knockout phase,Final,11 April 2014,"24 May 2014 at Estádio da Luz, Lisbon","24 May 2014 at Estádio da Luz, Lisbon"
