Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,MIL,AJX,CEL
1,Barcelona,6,4,1,1,16,5,+11,13,Advance to knockout phase,,—,3–1,4–0,6–1
2,Milan,6,2,3,1,8,5,+3,9,Advance to knockout phase,,1–1,—,0–0,2–0
3,Ajax,6,2,2,2,5,8,−3,8,Transfer to Europa League,,2–1,1–1,—,1–0
4,Celtic,6,1,0,5,3,14,−11,3,,,0–1,0–3,2–1,—
