Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,MCI,PLZ,CSKA
1,Bayern Munich,6,5,0,1,17,5,+12,15[a],Advance to knockout phase,,—,2–3,5–0,3–0
2,Manchester City,6,5,0,1,18,10,+8,15[a],Advance to knockout phase,,1–3,—,4–2,5–2
3,Viktoria Plzeň,6,1,0,5,6,17,−11,3[b],Transfer to Europa League,,0–1,0–3,—,2–1
4,CSKA Moscow,6,1,0,5,8,17,−9,3[b],,,1–3,1–2,3–2,—
