Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DOR,ARS,NAP,MAR
1,Borussia Dortmund,6,4,0,2,11,6,+5,12[a],Advance to knockout phase,,—,0–1,3–1,3–0
2,Arsenal,6,4,0,2,8,5,+3,12[a],Advance to knockout phase,,1–2,—,2–0,2–0
3,Napoli,6,4,0,2,10,9,+1,12[a],Transfer to Europa League,,2–1,2–0,—,3–2
4,Marseille,6,0,0,6,5,14,−9,0,,,1–2,1–2,1–2,—
