Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAR,OLY,BEN,AND
1,Paris Saint-Germain,6,4,1,1,16,5,+11,13,Advance to knockout phase,,—,2–1,3–0,1–1
2,Olympiacos,6,3,1,2,10,8,+2,10[a],Advance to knockout phase,,1–4,—,1–0,3–1
3,Benfica,6,3,1,2,8,8,0,10[a],Transfer to Europa League,,2–1,1–1,—,2–0
4,Anderlecht,6,0,1,5,4,17,−13,1,,,0–5,0–3,2–3,—
