Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Manchester City,1–4,Barcelona,0–2,1–2
Olympiacos,2–3,Manchester United,2–0,0–3
Milan,1–5,Atlético Madrid,0–1,1–4
Bayer Leverkusen,1–6,Paris Saint-Germain,0–4,1–2
Galatasaray,1–3,Chelsea,1–1,0–2
Schalke 04,2–9,Real Madrid,1–6,1–3
Zenit Saint Petersburg,4–5,Borussia Dortmund,2–4,2–1
Arsenal,1–3,Bayern Munich,0–2,1–1
