Rank,Player,Team,Goals,Minutes played
1,Cristiano Ronaldo,Real Madrid,17,993
2,Zlatan Ibrahimović,Paris Saint-Germain,10,670
3,Diego Costa,Atlético Madrid,8,580
3,Lionel Messi,Barcelona,8,630
5,Sergio Agüero,Manchester City,6,429
5,Robert Lewandowski,Borussia Dortmund,6,809
5,Gareth Bale,Real Madrid,6,873
8,Álvaro Negredo,Manchester City,5,326
8,Arturo Vidal,Juventus,5,533
8,Thomas Müller,Bayern Munich,5,708
8,Marco Reus,Borussia Dortmund,5,769
8,Karim Benzema,Real Madrid,5,913
