Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Barcelona,1–2,Atlético Madrid,1–1,0–1
Real Madrid,3–2,Borussia Dortmund,3–0,0–2
Paris Saint-Germain,3–3 (a),Chelsea,3–1,0–2
Manchester United,2–4,Bayern Munich,1–1,1–3
