Rank[26],Player,Team,Goals,Minutes played
1,Lionel Messi,Barcelona,8,1033
2,Cristiano Ronaldo,Real Madrid,7,477
2,Ivica Olić,Bayern Munich,7,721
4,Diego Milito,Inter Milan,6,966
5,Nicklas Bendtner,Arsenal,5,461
5,Wayne Rooney,Manchester United,5,508
5,Marouane Chamakh,Bordeaux,5,852
8,Michael Owen,Manchester United,4,293
8,Stevan Jovetić,Fiorentina,4,302
8,Edin Džeko,VfL Wolfsburg,4,560
8,Cesc Fàbregas,Arsenal,4,633
8,Radamel Falcao,Porto,4,660
8,Pedro,Barcelona,4,677
8,Arjen Robben,Bayern Munich,4,717
8,Miralem Pjanić,Lyon,4,780
8,Zlatan Ibrahimović,Barcelona,4,790
8,Miloš Krasić,CSKA Moscow,4,812
