Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,MIL,MAR,ZUR
1,Real Madrid,6,4,1,1,15,7,+8,13,Advance to knockout phase,,—,2–3,3–0,1–0
2,Milan,6,2,3,1,8,7,+1,9,Advance to knockout phase,,1–1,—,1–1,0–1
3,Marseille,6,2,1,3,10,10,0,7,Transfer to Europa League,,1–3,1–2,—,6–1
4,Zürich,6,1,1,4,5,14,−9,4,,,2–5,1–1,0–1,—
