Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
VfB Stuttgart,1–5,Barcelona,1–1,0–4
Olympiacos,1–3,Bordeaux,0–1,1–2
Inter Milan,3–1,Chelsea,2–1,1–0
Bayern Munich,4–4 (a),Fiorentina,2–1,2–3
CSKA Moscow,3–2,Sevilla,1–1,2–1
Lyon,2–1,Real Madrid,1–0,1–1
Porto,2–6,Arsenal,2–1,0–5
Milan,2–7,Manchester United,2–3,0–4
