Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,POR,ATM,APO
1,Chelsea,6,4,2,0,11,4,+7,14,Advance to knockout phase,,—,1–0,4–0,2–2
2,Porto,6,4,0,2,8,3,+5,12,Advance to knockout phase,,0–1,—,2–0,2–1
3,Atlético Madrid,6,0,3,3,3,12,−9,3,Transfer to Europa League,,2–2,0–3,—,0–0
4,APOEL,6,0,3,3,4,7,−3,3,,,0–1,0–1,1–1,—
