Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Lyon,3–2,Bordeaux,3–1,0–1
Bayern Munich,4–4 (a),Manchester United,2–1,2–3
Arsenal,3–6,Barcelona,2–2,1–4
Inter Milan,2–0,CSKA Moscow,1–0,1–0
