Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,FIO,LYO,LIV,DEB
1,Fiorentina,6,5,0,1,14,7,+7,15,Advance to knockout phase,,—,1–0,2–0,5–2
2,Lyon,6,4,1,1,12,3,+9,13,Advance to knockout phase,,1–0,—,1–1,4–0
3,Liverpool,6,2,1,3,5,7,−2,7,Transfer to Europa League,,1–2,1–2,—,1–0
4,Debrecen,6,0,0,6,5,19,−14,0,,,3–4,0–4,0–1,—
