Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,SEV,STU,URZ,RAN
1,Sevilla,6,4,1,1,11,4,+7,13,Advance to knockout phase,,—,1–1,2–0,1–0
2,VfB Stuttgart,6,2,3,1,9,7,+2,9,Advance to knockout phase,,1–3,—,3–1,1–1
3,Unirea Urziceni,6,2,2,2,8,8,0,8,Transfer to Europa League,,1–0,1–1,—,1–1
4,Rangers,6,0,2,4,4,13,−9,2,,,1–4,0–2,1–4,—
