Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,OLY,STL,AZ
1,Arsenal,6,4,1,1,12,5,+7,13,Advance to knockout phase,,—,2–0,2–0,4–1
2,Olympiacos,6,3,1,2,4,5,−1,10,Advance to knockout phase,,1–0,—,2–1,1–0
3,Standard Liège,6,1,2,3,7,9,−2,5,Transfer to Europa League,,2–3,2–0,—,1–1
4,AZ,6,0,4,2,4,8,−4,4,,,1–1,0–0,1–1,—
