Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayern Munich,2–3,Anderlecht,2–1,0–2
Steaua București,1–0,Kuusysi,0–0,1–0
Aberdeen,2–2 (a),IFK Göteborg,2–2,0–0
Barcelona,2–1,Juventus,1–0,1–1
