0,1,2,3
Austria Wien (1st),Anderlecht (1st),Botev Plovdiv (3rd),Omonia (1st)
Sparta Praha (1st),Vejle (1st),Kuusysi (1st),Bordeaux (1st)
BFC Dynamo (1st),Bayern Munich (1st),PAOK (1st),Budapesti Honvéd (1st)
ÍA (1st),Shamrock Rovers (1st),Hellas Verona (1st),Juventus (6th)TH
Jeunesse Esch (1st),Rabat Ajax (1st),Ajax (1st),Linfield (1st)
Vålerenga (1st),Górnik Zabrze (1st),Porto (1st),Steaua București (1st)
Aberdeen (1st),Barcelona (1st),Gothenburg (1st),Servette (1st)
Fenerbahçe (1st),Zenit Leningrad (1st),Sarajevo (1st),
