Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Nottingham Forest,3–2,BFC Dynamo,0–1,3–1
Strasbourg,0–4,Ajax,0–0,0–4
Celtic,2–3,Real Madrid,2–0,0–3
Hamburg,3–3 (a),Hajduk Split,1–0,2–3
