Rank,Name,Team,Goals
1,Søren Lerby,Ajax,10
2,Ton Blanker,Ajax,7
2,Horst Hrubesch,Hamburg,7
4,Sotiris Kaiafas,Omonia,6
5,Frank Arnesen,Ajax,4
5,Ruud Krol,Ajax,4
7,Carlos Bianchi,Strasbourg,3
7,Ian Bowyer,Nottingham Forest,3
7,Laurie Cunningham,Real Madrid,3
7,Manfred Kaltz,Hamburg,3
7,Hartmut Pelka,BFC Dynamo,3
7,Francis Piasecki,Strasbourg,3
7,John Robertson,Nottingham Forest,3
7,Santillana,Real Madrid,3
7,Trevor Francis,Nottingham Forest,3
