Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,6 July 1998,22 July 1998,29 July 1998
Qualifying,Second qualifying round,6 July 1998,12 August 1998,26 August 1998
Group stage,Matchday 1,27 August 1998 (Monaco),16 September 1998,16 September 1998
Group stage,Matchday 2,27 August 1998 (Monaco),30 September 1998,30 September 1998
Group stage,Matchday 3,27 August 1998 (Monaco),21 October 1998,21 October 1998
Group stage,Matchday 4,27 August 1998 (Monaco),4 November 1998,4 November 1998
Group stage,Matchday 5,27 August 1998 (Monaco),25 November 1998,25 November 1998
Group stage,Matchday 6,27 August 1998 (Monaco),9 December 1998,9 December 1998
Knockout phase,Quarter-finals,16 December 1998,3 March 1999,17 March 1999
Knockout phase,Semi-finals,19 March 1999,7 April 1999,21 April 1999
Knockout phase,Final,19 March 1999,"26 May 1999 at Camp Nou, Barcelona","26 May 1999 at Camp Nou, Barcelona"
